title,heat,url,label
美国白宫晚宴发生枪击事件,1131.8万,https://www.douyin.com/hot/2479312,
记者直击白宫晚宴枪击现场,1124.5万,https://www.douyin.com/hot/2479465,
中国航天“日程表”发布,1108.1万,https://www.douyin.com/hot/2479418,
DeepSeek V4全面评测,1095.2万,https://www.douyin.com/hot/2479058,
男子被扣押30年黄金申请退赔被拒,1033.6万,https://www.douyin.com/hot/2478356,
白宫记协晚宴现场画面曝光,1021.2万,https://www.douyin.com/hot/2479512,
特朗普称枪手已被捕,912.7万,https://www.douyin.com/hot/2479353,
NBA最激烈的MVP之争,909.9万,https://www.douyin.com/hot/2479423,
我国成功发射一颗巴基斯坦卫星,909.7万,https://www.douyin.com/hot/2479065,
这一顿会很疯狂,905.9万,https://www.douyin.com/hot/2478397,
